stock index, vol index-export: , vol index-import: , unit value index-export: , unit value index-import: 
8298.218696,95.75,98.65,102.04,98.38
7871.480476,95.23,99.97,102.37,99.93
8246.533846,76.83,72.5,101.87,100.42
8687.645652,99.38,99.28,100.18,97.8
8567.991053,95.95,92.36,99.31,98.61
8235.470952,101.59,105.43,100.14,99.88
8595.41619,98.39,99.55,100.57,101.81
8899.74,103.05,104.57,100.24,101.55
9093.748696,105.04,105.58,98.67,99.76
9130.868947,95.55,90.21,99.25,102.85
9273.736,112.48,113.18,99.4,100.19
9098.386818,105.88,106.1,99.92,101.01
9245.263182,107.96,104.99,101.28,102.49
9351.71375,98.57,99.27,102.07,104.6
9673.977778,92.53,91.69,100.86,105.02
9796.295652,104.85,105.24,100.17,102.69
9801.368333,98.51,103.93,99.37,101.64
9993.663,104.32,107.97,97.65,99.48
10259.00087,105.75,97.48,97.59,99.37
10425.9181,111.18,105.18,98.32,101.08
10436.34957,113.27,107.47,98.44,99.98
10500.59727,116.6,106.81,98.94,101.32
10683.85368,110.23,104.8,100.18,103.49
10743.29818,114.87,107.11,100.22,103.76
10501.39714,116.93,108.04,100.5,104.76
11005.37636,108.58,112.49,99.36,105.26
10717.93615,87.28,85.46,99,106.58
10903.88565,117.42,107.56,99,105.37
10795.84389,103.98,101.05,99.45,105.32
10817.67682,113.82,110.04,100.87,107.62
10986.51,110.03,101.06,101.92,110.04
10840.21545,112.13,114.95,102.34,111.8
10909.41652,111.87,104.6,102.64,112.4
10883.76526,117.34,111.44,103.07,112.67
10088.35636,117.05,115.38,103.27,113.2
9821.369545,111.62,102.09,102.08,112.86
9747.112381,115.49,107.77,101.08,110.22
